n_pressed,held,line_A,line_B,line_C,adc_A,adc_B,adc_C,n_masked,masked,fully_observable
3,CRUISE  −  SMALL + FOLLOW DIST  + + FOLLOW DIST  −,CRUISE  −  SMALL,FOLLOW DIST  +,idle,133,133,682,1,FOLLOW DIST  −,no
3,CRUISE  −  SMALL + FOLLOW DIST  + + DOWNHILL  CANCEL,CRUISE  −  SMALL,FOLLOW DIST  +,DOWNHILL  CANCEL,133,133,58,0,,yes
3,CRUISE  −  SMALL + FOLLOW DIST  + + DOWNHILL  −,CRUISE  −  SMALL,FOLLOW DIST  +,DOWNHILL  −,133,133,133,0,,yes
3,CRUISE  −  SMALL + FOLLOW DIST  + + DOWNHILL  RESUME,CRUISE  −  SMALL,FOLLOW DIST  +,DOWNHILL  RESUME,133,133,217,0,,yes
3,CRUISE  −  SMALL + FOLLOW DIST  + + DOWNHILL  +,CRUISE  −  SMALL,FOLLOW DIST  +,DOWNHILL  +,133,133,350,0,,yes
3,CRUISE  −  SMALL + CRUISE  RESUME + FOLLOW DIST  −,CRUISE  −  SMALL,CRUISE  RESUME,idle,133,217,682,1,FOLLOW DIST  −,no
3,CRUISE  −  SMALL + CRUISE  RESUME + DOWNHILL  CANCEL,CRUISE  −  SMALL,CRUISE  RESUME,DOWNHILL  CANCEL,133,217,58,0,,yes
3,CRUISE  −  SMALL + CRUISE  RESUME + DOWNHILL  −,CRUISE  −  SMALL,CRUISE  RESUME,DOWNHILL  −,133,217,133,0,,yes
3,CRUISE  −  SMALL + CRUISE  RESUME + DOWNHILL  RESUME,CRUISE  −  SMALL,CRUISE  RESUME,DOWNHILL  RESUME,133,217,217,0,,yes
3,CRUISE  −  SMALL + CRUISE  RESUME + DOWNHILL  +,CRUISE  −  SMALL,CRUISE  RESUME,DOWNHILL  +,133,217,350,0,,yes
3,CRUISE  −  SMALL + FOLLOW DIST  − + DOWNHILL  CANCEL,CRUISE  −  SMALL,FOLLOW DIST  −,DOWNHILL  CANCEL,133,350,58,0,,yes
3,CRUISE  −  SMALL + FOLLOW DIST  − + DOWNHILL  −,CRUISE  −  SMALL,FOLLOW DIST  −,DOWNHILL  −,133,350,133,0,,yes
3,CRUISE  −  SMALL + FOLLOW DIST  − + DOWNHILL  RESUME,CRUISE  −  SMALL,FOLLOW DIST  −,DOWNHILL  RESUME,133,350,217,0,,yes
3,CRUISE  −  SMALL + FOLLOW DIST  − + DOWNHILL  +,CRUISE  −  SMALL,FOLLOW DIST  −,DOWNHILL  +,133,350,350,0,,yes
3,CRUISE  −  SMALL + DOWNHILL  CANCEL + DOWNHILL  −,CRUISE  −  SMALL,idle,DOWNHILL  CANCEL,133,682,58,1,DOWNHILL  −,no
3,CRUISE  −  SMALL + DOWNHILL  CANCEL + DOWNHILL  RESUME,CRUISE  −  SMALL,idle,DOWNHILL  CANCEL,133,682,58,1,DOWNHILL  RESUME,no
3,CRUISE  −  SMALL + DOWNHILL  CANCEL + DOWNHILL  +,CRUISE  −  SMALL,idle,DOWNHILL  CANCEL,133,682,58,1,DOWNHILL  +,no
3,CRUISE  −  SMALL + DOWNHILL  − + DOWNHILL  RESUME,CRUISE  −  SMALL,idle,DOWNHILL  −,133,682,133,1,DOWNHILL  RESUME,no
3,CRUISE  −  SMALL + DOWNHILL  − + DOWNHILL  +,CRUISE  −  SMALL,idle,DOWNHILL  −,133,682,133,1,DOWNHILL  +,no
3,CRUISE  −  SMALL + DOWNHILL  RESUME + DOWNHILL  +,CRUISE  −  SMALL,idle,DOWNHILL  RESUME,133,682,217,1,DOWNHILL  +,no
